gene,log2FC,pvalue,adjusted_pvalue
COL7A1,-1.5220358319662748,1.3987303280947814e-05,0.0004851635177453891
COPZ2,-1.1449764598790393,0.0009664811538545676,0.008877813833887891
COQ10A,-1.203908148465367,2.40494687145864e-05,0.0007261180659578429
CORO1B,1.0295712728402238,0.0006968815987991548,0.007632631266031355
COX16,1.0284126814349945,2.9703550004349546e-05,0.0008445643813819493
COX3,1.5500523264401473,0.00010193333247734158,0.0020840027126581826
COX5B,1.3056301680059343,2.748372565732823e-06,0.00015375387870755758
COX7A2,1.0719506967208343,9.663653275407764e-05,0.0020140742219726068
COX7A2P2,1.1806098598211012,6.961641095001008e-05,0.0015833051178307822
CPA6,-1.0395912480696259,0.003720702360587158,0.016864931920338794
CPAMD8,-1.366986114997748,2.5317108233236543e-08,5.225791946566239e-06
CPLX3,-1.696341710104631,4.147862650901007e-07,4.00922983828823e-05
CPM,-1.3600562912400775,7.246655308416605e-07,5.7634607615347845e-05
CPVL,-1.0709599837157735,0.0003953081415396562,0.00538798722186146
CPXM1,-1.1994600677236609,0.0041904241987635645,0.018063420938726392
CRACR2B,1.542694692629113,1.6237166051430537e-06,0.00010312522000770987
CRAT,1.0011253822529964,4.4426986380287916e-07,4.2128620936414266e-05
CRB2,1.0318367717701948,0.0028659941774979393,0.01448602665189373
CRCP,1.0522885617741404,5.72245488851419e-07,4.7860009528989806e-05
CRELD2,1.0067715857559865,2.107214352366309e-05,0.0006574937573001099
CRISPLD2,-1.3652446943288563,4.533641960329867e-07,4.2314648679304894e-05
CRNN,1.0194003977372539,0.0011157544592705693,0.00950849582261267
CRYAB,-1.667390547200918,4.289192304281435e-11,3.541388122923445e-08
CSN1S2AP,1.0334501437981736,0.0008958715065282411,0.008574085434971802
CSNK1G2-AS1,1.0524063923259208,0.0010984116126063646,0.00944880059575141
CSRP2,-1.3399797512197673,1.3124441482392102e-05,0.0004672344698217434
CSTA,-1.77128942085118,4.196438389360065e-14,2.2521235726098127e-10
CT47A12,1.063001852893495,0.0010931492908812868,0.009433100727602057
CT83,1.000446556937411,0.0017617336106544017,0.011460956633670145
CTPS1,1.051342563660839,0.0002529796026958049,0.003995391939851608
CTSB,-1.4080297392301657,2.649717508842773e-08,5.4172843583169335e-06
CTSLP8,1.1741945249285024,0.001291360463660427,0.010139588541842862
CTTNBP2,-1.0530126722139375,0.0009807595463910794,0.008919921676828996
CX3CL1,-1.0513628648898907,0.014000507542979103,0.041204948646165675
CXCL12,-1.10657413752533,4.301300486358732e-06,0.00021009711943720483
CXCL14,1.0353812115069374,7.559532226326651e-07,5.891286099775356e-05
CXCR1,1.0033687974696166,0.0015308707083203713,0.010849521787888217
CXXC5,1.020185588072919,0.0004054226535112156,0.005471550678328176
CYB5A,1.00545571863148,0.0006026017172587415,0.006984908782069871
CYB5R2,-1.0168306129714815,0.01623280622003301,0.04587884159307077
